you,[-1.73330624]
me,[-1.48086388]
say,[-1.33889763]
i like,[-1.23383688]
judge,[-1.09658495]
yoga,[-1.09584991]
said,[-1.06554307]
am,[-1.00484807]
really end,[-0.99671026]
nothing,[-0.95677098]
your,[-0.94072387]
what about,[-0.93854652]
about,[-0.9252768]
nothing end,[-0.88027724]
am i,[-0.87622542]
boulder,[-0.84115513]
start i,[-0.82426829]
game,[-0.82179809]
start something,[-0.8198402]
tell,[-0.81477063]
want,[-0.80778351]
love,[-0.80245614]
please,[-0.79870951]
tell me,[-0.79350884]
don t,[-0.76918207]
today,[-0.75504932]
oh yeah,[-0.75184716]
no end,[-0.74462916]
i end,[-0.73985225]
questions,[-0.73956412]
is,[-0.73330574]
think of,[-0.72637115]
change,[-0.72370529]
don,[-0.7144249]
that you,[-0.68629944]
hear,[-0.68344943]
i don,[-0.68255562]
like to,[-0.67839274]
start whatever,[-0.66620221]
t know,[-0.66580806]
wish,[-0.66141091]
d end,[-0.66135874]
en,[-0.65549324]
man,[-0.65488847]
which,[-0.64594197]
intelligent,[-0.64370365]
you ever,[-0.64302724]
to tell,[-0.6396254]
you have,[-0.63933985]
do i,[-0.63888922]
s nice,[-0.63663989]
you are,[-0.63303005]
anyone,[-0.63120013]
want to,[-0.63013332]
busy,[-0.62655724]
women,[-0.62097163]
is the,[-0.61434727]
phone,[-0.61294166]
s interesting,[-0.60878684]
best,[-0.60839435]
talk,[-0.60289892]
everything,[-0.59330837]
time end,[-0.58986649]
normal,[-0.58851227]
australia,[-0.57453453]
start please,[-0.57099311]
told,[-0.56573588]
why not,[-0.56204812]
hobbies,[-0.55867907]
t end,[-0.55854066]
are a,[-0.55833943]
start t,[-0.55625894]
you really,[-0.55602874]
told you,[-0.55477039]
born,[-0.55288265]
did end,[-0.55262429]
see you,[-0.55248412]
start alright,[-0.55171632]
i want,[-0.54437271]
didn,[-0.53938928]
didn t,[-0.53938928]
subject,[-0.53553138]
care,[-0.53266016]
perhaps,[-0.52820943]
robots,[-0.52726673]
fun,[-0.52277473]
you say,[-0.52202819]
always,[-0.51820301]
about this,[-0.51166889]
should,[-0.51043571]
intelligent end,[-0.5089471]
sex,[-0.50886397]
glad,[-0.50479752]
ever,[-0.50198151]
start thank,[-0.49519936]
start a,[-0.49362284]
knock,[-0.49252293]
talking about,[-0.49178938]
into,[-0.49143847]
try,[-0.48640712]
typing end,[-0.4859518]
i will,[-0.48477371]
start really,[-0.48454857]
certain,[-0.4829588]
about a,[-0.4811855]
i can,[-0.47865463]
let,[-0.47733762]
start help,[-0.47559831]
start nothing,[-0.47453021]
woman,[-0.47419199]
the time,[-0.47327308]
start some,[-0.47319677]
was your,[-0.47103265]
start s,[-0.47084338]
joke,[-0.46989961]
why,[-0.46685036]
start my,[-0.46673516]
judge04,[-0.46486032]
telling,[-0.46437827]
i already,[-0.46384035]
this end,[-0.46235662]
i just,[-0.4611585]
with a,[-0.4610567]
yoga teacher,[-0.46097967]
star wars,[-0.458959]
wars,[-0.458959]
you feel,[-0.45869411]
everything end,[-0.45840337]
huh end,[-0.45211825]
greetings,[-0.45210948]
alice,[-0.4520552]
name where,[-0.45032614]
my favorite,[-0.44992004]
waiting for,[-0.44927525]
world end,[-0.44889028]
hi there,[-0.44763713]
point,[-0.44750102]
movies,[-0.4463878]
when,[-0.44619464]
ar,[-0.44596131]
meet,[-0.44571941]
so am,[-0.44521657]
karate,[-0.44514086]
memory,[-0.443062]
continue,[-0.4428843]
pay,[-0.442178]
you said,[-0.44173472]
friend,[-0.44068236]
keep,[-0.43855468]
georgia,[-0.43851132]
girl end,[-0.43680626]
whether,[-0.43600123]
what i,[-0.43207772]
consider,[-0.42941355]
have an,[-0.42604344]
to,[-0.42465604]
i wish,[-0.42368024]
start d,[-0.42327263]
cat,[-0.42269831]
judge01,[-0.41870599]
judge02,[-0.41758709]
that we,[-0.41730706]
breakfast,[-0.41712036]
matter,[-0.41668266]
very much,[-0.41379987]
goodbye,[-0.41155434]
hey,[-0.41108503]
i love,[-0.41082083]
start it,[-0.40985084]
i have,[-0.40969129]
lately,[-0.40926308]
talk about,[-0.40917509]
make,[-0.40745898]
to hear,[-0.40588919]
sure,[-0.40547038]
like you,[-0.40464663]
doing so,[-0.40451683]
o,[-0.40421139]
city,[-0.40374567]
m not,[-0.403432]
i didn,[-0.40317635]
to play,[-0.40298681]
tv,[-0.40246921]
life,[-0.40229802]
start why,[-0.40148156]
boulder end,[-0.4010743]
okay,[-0.40046559]
continue end,[-0.39895224]
country are,[-0.39861579]
start your,[-0.39831737]
huh,[-0.39771854]
gives,[-0.39752543]
cares,[-0.39601544]
old,[-0.39427171]
well no,[-0.39401218]
years,[-0.39259417]
if i,[-0.39215107]
a yoga,[-0.39014561]
you think,[-0.38906355]
whatever end,[-0.38855557]
start could,[-0.38730845]
the question,[-0.38690847]
a living,[-0.38642048]
living end,[-0.38642048]
like,[-0.383668]
wakey,[-0.38319274]
greetings end,[-0.38306133]
can,[-0.38260542]
start think,[-0.38211484]
start right,[-0.38101329]
the subject,[-0.38042328]
what,[-0.38013334]
start yoga,[-0.37998248]
conservative,[-0.37994791]
feelings,[-0.37932718]
i doing,[-0.37874795]
music,[-0.37637823]
will end,[-0.37577924]
what makes,[-0.37399397]
already told,[-0.37308452]
not yet,[-0.37227488]
start huh,[-0.37192058]
start judge,[-0.37191737]
bar,[-0.37172173]
star,[-0.36960822]
all end,[-0.3669602]
eat,[-0.36598742]
does that,[-0.3653658]
friend end,[-0.36525226]
in boulder,[-0.36430014]
once,[-0.3638288]
start his,[-0.36367142]
solution,[-0.36281429]
dream,[-0.36238496]
from boulder,[-0.36183653]
home,[-0.36079795]
start okay,[-0.36063583]
s boring,[-0.36037091]
you were,[-0.36023124]
a joke,[-0.35904712]
control,[-0.35847546]
n,[-0.35844433]
pets,[-0.35509613]
subject end,[-0.354918]
will,[-0.35465287]
please go,[-0.35361121]
is what,[-0.35286374]
be end,[-0.35247003]
thanks,[-0.35166701]
you like,[-0.3516041]
you would,[-0.35135546]
so are,[-0.3509791]
a game,[-0.34974909]
on end,[-0.3492358]
move,[-0.34809939]
my name,[-0.34775858]
wear,[-0.34743891]
please try,[-0.34504343]
hehehe,[-0.34483296]
say end,[-0.34463036]
judge03,[-0.34431797]
how long,[-0.34339236]
start goodbye,[-0.34338934]
perth,[-0.34325661]
solution to,[-0.34188512]
the solution,[-0.34188512]
on that,[-0.34136259]
grammar end,[-0.34118755]
friends end,[-0.34032882]
say that,[-0.33999696]
a man,[-0.33898083]
chip,[-0.33861021]
start am,[-0.33849561]
series,[-0.33848373]
i get,[-0.33830649]
child,[-0.33817572]
georgia end,[-0.33816759]
bored,[-0.33789287]
telling me,[-0.33784174]
how old,[-0.33781208]
makes,[-0.33775507]
change the,[-0.33772677]
thanks for,[-0.33763929]
welfare,[-0.33763595]
18,[-0.33746973]
or a,[-0.33746246]
a normal,[-0.33734915]
normal one,[-0.33734915]
call you,[-0.33691254]
welcome,[-0.33658353]
ella,[-0.33627476]
fun end,[-0.33612526]
something brilliant,[-0.33464925]
waiting,[-0.334407]
start would,[-0.33414006]
president,[-0.33296681]
help,[-0.33240876]
would,[-0.33240792]
states,[-0.33159781]
oh well,[-0.33123471]
well end,[-0.3309673]
favorite,[-0.33046756]
india,[-0.33008516]
would you,[-0.32994205]
busy though,[-0.32984774]
you care,[-0.32950934]
hey i,[-0.32946375]
need,[-0.3284698]
ahead,[-0.3272779]
too how,[-0.3271673]
can you,[-0.3270735]
mike,[-0.326575]
the answer,[-0.32656253]
man end,[-0.32576331]
hello and,[-0.32574586]
hot,[-0.324865]
s very,[-0.32464342]
republican,[-0.32453541]
interested end,[-0.32442411]
knows,[-0.32436712]
indeed,[-0.32394216]
name is,[-0.32375376]
originally,[-0.32372904]
you not,[-0.32252194]
for you,[-0.32189912]
dunno,[-0.32184768]
dunno end,[-0.32184768]
girl,[-0.32105379]
not married,[-0.32068651]
think,[-0.32052633]
character,[-0.32038226]
i try,[-0.31987148]
bye for,[-0.31976322]
hate you,[-0.31946956]
course i,[-0.31936742]
i,[-0.31925911]
t you,[-0.31868372]
i say,[-0.31808072]
network,[-0.31796316]
start indeed,[-0.31795342]
anyone there,[-0.31784172]
is anyone,[-0.31784172]
your name,[-0.31732696]
what did,[-0.31696878]
judge05,[-0.3159761]
play,[-0.31589107]
meeting you,[-0.31492117]
nice meeting,[-0.31492117]
to you,[-0.31341188]
t be,[-0.31341044]
start ummm,[-0.31311661]
ummm,[-0.31311661]
ummm i,[-0.31311661]
start does,[-0.31265486]
riding,[-0.31209504]
correct,[-0.30893824]
do for,[-0.30882264]
into a,[-0.30862508]
somebody,[-0.30771015]
lately end,[-0.30741885]
that s,[-0.30715048]
ru,[-0.30684565]
language,[-0.3068066]
mate,[-0.30654666]
a woman,[-0.30650006]
of your,[-0.30633755]
judge01 end,[-0.30617329]
yes a,[-0.30594355]
me that,[-0.30486853]
yes you,[-0.30386491]
teacher,[-0.30313924]
colorado,[-0.30295303]
doctor,[-0.30211884]
a end,[-0.30211045]
weird end,[-0.30071608]
nbc,[-0.30041519]
mind end,[-0.29885873]
know any,[-0.29830873]
wish i,[-0.29780882]
thing in,[-0.29746383]
judge04 end,[-0.29745459]
