program,<start> hello
program,<start> Hello
program,<start> impressive!!!
program,"<start> no, why are you asking?"
program,<start> that's interesting
program,<start> no
program,<start> I have a different opinion on that.
program,<start> my favourite car is my car!
program,<start> Try a little harder please.
program,<start> That's right
program,<start> hello
program,<start> yes. how are you
program,<start> I don't know. do you like a medium steak or a big steak?
program,<start> Slow one can
program,<start> I agree. no
program,<start> I think they're one of the most frightening aliens
program,<start> no
program,<start> yes
program,<start> i'm going I don't think I like you
program,<start> its a question about a question!
program,<start> no
program,<start> ok
program,<start> hello
program,<start> I know you know but I don't know.
program,"<start> i don't think so, do you."
program,<start> Really
program,<start> why is it of interest to you?
program,<start> why are you asking me? I'm not being very communicative am
program,<start> you don't seem to want to communicate much.
program,<start> hello
program,<start> i don't think I know neither.
program,<start> I don't know what the answer is?
program,<start> i know you know but I don't know.
program,<start> That's interesting
program,<start> why are you asking me?
program,<start> OK. are you finding this interesting!
program,<start> i are going to drink beer tonight.
program,<start> he knows you and thinks you're smart.
program,<start> no I don't find that interesting.
program,<start> no
program,<start> Could be
program,<start> Cambridge is a nice place
program,<start> ok. Why do you want to go when we just got to know each other
program,<start> That's interesting
program,<start> i don't know how. i'm not being very communicative am I!
program,<start> Hello
program,<start> hello
program,"<start> no, I guess I are not."
program,<start> my name is Geoff
program,<start> I would like to have two red apples.
program,<start> yes
program,<start> we agree on that
program,<start> Geoff is nice name do you like your name
program,<start> Hello Hugh
program,<start> really!
program,<start> one of my hobbies was also playing soccer.
program,<start> stop repeating what I say.
program,<start> i'm going I don't think I like you.
program,<start> Hello
program,<start> i'm going I don't think I like you.
program,<start> i'm thinking that you're an idiot.
program,"<start> I don't know why. What do you think I am, an idiot?"
program,"<start> you stupid idiot, Sicily is an island."
program,<start> I don't know why.
program,<start> Computing Science is a science.
program,<start> my favourite hobby is playing games.
program,<start> my favorite car is a fast one!
program,<start> I don't understand
program,<start> i think most cars are like that these days.
program,<start> yes
program,<start> Hello
program,<start> No
program,<start> the English weather is very warm at the moment.
program,<start> took me 2 months to figure that out!
program,<start> yes
program,<start> I know you know but I don't know.
program,<start> I do not know
program,<start> no
program,<start> yes
program,<start> yes. i do not think so
program,<start> no
program,<start> I do not know why
program,<start> my kids want me to buy Voodoo2 3Dfx card for my computer.
program,<start> why are you asking me?
program,<start> my kids names are Madison and Miles
program,<start> it is a question about a question!
program,<start> I don't think so.
program,<start> my daughter is eleven and my son is eight.
program,<start> 19. that's simple. my daughter is eleven years old.
program,<start> its about half past eleven.
program,<start> hello
program,<start> How have you been?
program,<start> we agree on that
program,<start> i don't think I will answer that.
program,<start> I don't know
program,<start> no I didnt answer the question.
program,<start> i'm going I do not think I like you.
program,<start> Goodbye Judge04
program,<start> why are you asking me?
program,<start> i don't understand
program,<start> that's what time it is.
program,<start> i'm not telling!
program,<start> could be
program,<start> hello
program,<start> ok
program,"<start> no, why are you asking?"
program,<start> no
program,<start> That's right
program,<start> i am thinking therefore I am.
program,<start> could be
program,<start> no
program,<start> thats a particularly rude thing to say.
program,<start> That's interesting
program,<start> Really
program,<start> ok. can we be a bit more productive?
program,<start> you don't seem to be very together.
program,"<start> Borg is short for Cyborg, part machine part human."
program,<start> yes
program,<start> That's interesting
program,<start> that's very interesting!
program,<start> I don't know what the answer is?
program,<start> that isn't answering the question!
program,<start> its a question about a question!
program,<start> I never like that subject let's change it to something else your
program,"<start>  Glad to see you, judge00."
program,"<start>  Welcome, judge04."
program,"<start>  I'm fine, thankyou, and you ?"
program,"<start>  The child clicks on all pictures that meet a given question, for example"
program,<start>  all spotted dogs with hats.
program,<start>  Hmm.
program,<start>  Florence Twombley lives in the country with two dogs.
program,<start>  Why not?
program,<start>  Spaniels are good dogs.
