human,Hello. My name is John and I'm a human.
human,Hi there.
human,I'm fine thanks. How are you?
human,Same here. It's not often I get up this early on Sundays
human,On Sundays? Or just in general?
human,I work part-time for a ma BackSpace  BackSpace market-re BackSpace  BackSpace  BackSpace  research company
human,It most definitely is NOT fun
human,But it pays the bills
human,"Not really. I would like to do more hours, but there isn't enough work. I work 4 days a week, so it's almost full-time"
human,and it's quite nice to always have 3-day weekends
human,"I don't really do any of the reseacrh BackSpace  BackSpace  BackSpace rch. I think my official title is ""online advertising monitor"""
human,the company deals with inter  BackSpace net audience statistics etc
human,I pretty much just click on banner ads all day
human,very repetitive
human,but it's a nice company and the hours are very flexible
human,I can see that.
human,"Well, that's tricky. I'm  a BackSpace  BackSpace a big film buff so it's hard for me to pick one BackSpace  BackSpace  BackSpace just one."
human,"One of favorite ""modern"" films is Gummo"
human,ye BackSpace up
human,What's your favorite film?
human,ok
human,I haven't seen either of those
human,"Last thing I saw in the cinema was the new Almodovar film, ""Volver"""
human,"haha.  She's very good in it. The film itself...hmm...well, I don't know, really. I liked it, but then it didn't really do much for me."
human,haha
human,Worth seeing anyway
human,"Yeah. It was good, but I wouldn't want to see it again."
human,Really? M BackSpace I can watch my favorite films on repeat and never get tirwe BackSpace  BackSpace ed of them.
human,"I've probably seen ""Gummo"" 2 times and I always find something new in it"
human,I studied film and media at university and I made a few short films then.
human,"Nothing ""professional"" though"
human,"yeah, it's very hard. I haven't done anything in ages. These days I mostly write"
human,But I would like to make something in the future.;  BackSpace  BackSpace  I have a few ideas that would  BackSpace n't be too difficult to pull off.
human,Hmm. I would probably just stick to doing it with friends.
human,haha. Exactly.
human,what was it?
human,Last Year At Marienbad
human,by Alain Resnais
human,"Haha...it's just a stunning film. It's so beautiful to just look at. Even if the film is a bit ""difficult"", I can just sit and watch the images"
human,"I haven't seen it in a while, though.  BackSpace  I have it on DVd."
human,"But, it's a about memory...and memory is a weird thing"
human,Eternal Sunshine of the spotless mind?
human,"I really likled  BackSpace  BackSpace  BackSpace  BackSpace ed it in the cinema, but when I saw it t BackSpace a second time I couldn't stand it"
human,"Well, it's more interesting than most things that's rel;eased anyway"
human,at least it makes you think a little
human,I'm not really interested in politics  BackSpace  at all
human,If  BackSpace  BackSpace  BackSpace yes I do
