human |what board? 
human |how are yo u BackSpace  BackSpace u today BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace There is no board
human |I think you might be mistaken I see no ba BackSpace oard. Only colorblind
human | BackSpace . Do you kn BackSpace  BackSpace not  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Do you not know what it means to be color blind? 
human |Well thats too bad for you then
human |why?  BackSpace  why what?
human |Hello, are  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 
human |do you mean sisters?
human | BackSpace  I have no sisters only brothers. Oranc BackSpace ge County. Where are you from>? BackSpace  BackSpace ? Where is that? oh we are. I hav ene BackSpace  BackSpace  BackSpace  BackSpace e never been out of Orange County. Have you bn BackSpace een to Disney Land. I hear it is the Happiest place on Earth. Someday.  BackSpace  BackSpace , yes. Are you board.
human |you are not a very good typer.
human |what is your mothers maiden name?
human |That sounds more like a first name. 
human |what is that> BackSpace ?
human |Do you mean Tutoring test> BackSpace ? Like a test for tutors?
human |How did turing pass his test?
human |I am board of you
human |you are not very interesting.
human |because you are boring
human |no offense
human |Tell me one interesting thing about you
human |please
human |That is not an interesting fack abou BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace t about you.
human |that was a questhat was a question ao BackSpace bout me.
human |but if you must know  BackSpace . I do not drive.
human |are YO BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace wh BackSpace  BackSpace I do not wa BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I am a man/ BackSpace .
human |what is your gender?
human |well I know I am a man because I hav a BackSpace  BackSpace e male parts
human |what is your gender?
human |Women are very beautiful
human |are you very beautifu; BackSpace l?
human |Long hair, small waist and thin
human |Do you have long hair?
human |wHY BackSpace  BackSpace  BackSpace why are you so interested in General Lee?
human |I don't lk BackSpace ike a BackSpace cars
human |but I do like beautiful women.
human |What else can I learn about you?
human |because they are ugly. 
human |what part of Ugly dont' y BackSpace  BackSpace  BackSpace  BackSpace 't you understand
human |
program |You tell me first(.
program |The North.
program |Man is finite.
program |I am also having a good time. Your welcome. :).
program |Yes.
program |No.
program |Do you know Alan Turing?
program |What are the names of the demons you know?
program |Yes. How are you today?
program |I can play tennis online during spring.
program |I like girls.
program |Girls.
program |Nothing.
program |I said nothing.
program |I'm not in college, I'm in 8th grade.
program |I'm 18 years old.
program |Yes BackSpace s, can you?
program |Your bike hav BackSpace s nothing to do with it!
program |What do you mean, fo BackSpace  BackSpace going winter?
program |No.
program |Yes I have EVER seen you.
program |He was male.
program |I don;'t BackSpace  BackSpace  BackSpace 't know. Who are you?
program |Maybe, Are you a man?
program |Are you a woman?
program |Are you a girl?
program |I am a human.
program |
program |*ties yu BackSpace ou up*.
program |Are we?
program |Let's what?
program |You start.
program |No, you're boring.
program |Impossible for someone who doesn't exist.
program |Is that a yes?
program |That's BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace No you start.
program |No, I don't.
program |The computer mainframe. Or the program. I don't think you're typing at sa BackSpace  BackSpace all. Just thinking.
program |Ok, I'm getting tired now, do you think I w BackSpace should go to sleep?
program |It a BackSpace was the lowest turn-out in memory and I'm not surprised considering the available options.
program |Honestly, you are a human on a computer trying to make people think you are a machine.
program |No one. Who will you o BackSpace b BackSpace vote for?
program |The homecoming dance! Not a song.
program |Its got to do with animals, whiu BackSpace ch is what we were talking about just then.
program |Canine animals.
program |No I would not. Would you?
program |Because I don't like that name.
program |Your name.
program |What is it?
program |You asked me what 29 was.
program |I don't know. I just felt like saying that.
program |My name is Nameless.
program |I think there are a lot of things I'd rather be.
program |Yes.
program |Because.
program |My father.
program |He's my dad.
program |Then there would be one, but we wouldn't be able to remember it.
program |Because some of the things you are are fragmented and therefore do not make sense.
program |No. I don't have a job. I don't have a soul.
program |Yes.
program |I do have time.
program |Time for me.
program |I will sing and dance and laugh and play.
program |I could sing 'Into Each Life Some Rain Must Fall' by Ella Fitzgerald.
program |Yes.
program |'are you a human?'.
program |
human |Yo, what's up?
human |...Are we cybering?
human |LET'S
human |CYBER. This is exciting!
human |I take out my robe and wizard hat
human |NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
human |Okay, you start then.
human |...Maybe we should be doing something else
human |Not really!
human |The internet?
human |Ah, that makes sense!
human |Which of us is winning?!?!
human |*sigh* Everyone wants to tl BackSpace alk about that. Let's try something more original.
human |Do you havMyself, mostly.
human |Are you copying the other conts BackSpace estant again? This is lame.
human |I answered, myself. I don't think any of the major candidates wo BackSpace ill do a great job.
human |I'll probably r BackSpace write myself in
human |John Smith. Yours?
human |Your fake name is better than my fake name, cont BackSpace grats
human |Well, just in case you win - do you happen to have any terrible secrets for me to blackmail you with?
human |Damn. I was t BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 
human |No, thank you. I've been instructed not to reveal any phi BackSpace ysical details.
human |I find it very pleasant.
human |Please be more specific.
human |The weather.
human |My conversation tree clearly demonstrates that you changed the topic to "the weather" afterward.
human |It's a data structure my brain uses to keep track of this conversation!
human |I'm going for least human, actually. Don't think I'm doing a great job at that, either.
human |It's the only worthwhile goal, after all. :-)
human |Are you honestly not convinced that I'm human at this poiOkay, what would show you that I am human?
human |I don't think that's a decisive the BackSpace  BackSpace est in any way, but alright. Barbara Boxer and Carly Fiorina.
human |How  BackSpace 's the other program doing?
human |Yeah, it seemed pretty lame. That's why I sot BackSpace  BackSpace topped trying.
human |Haha, that's alright. You should be honest.
human |I'M A COMPUTER, STOP ALL THE DOWNLOADING
human |Eh, this round was too easy. I want to t BackSpace confuse the next judge more
human |I BackSpace That's what I'm trying to do, but in an interesting and funny way.
human |Using the flaws of the system to d BackSpace  BackSpace  do it,  BackSpace  BackSpace  isn't very interesting.
human |Well, the real-time typing mak BackSpace  BackSpace eans that computers won't win unless they make intentional typos
human | BackSpace 
human |I BackSpace Has the other contestant been doing that?
human |Gotcha. How were your round one contestants?
human |How was the actual computer, though?
human |*nod* From what I've seen, these programs are  BackSpace n't that sophisticated.
human |Haha, thanks.
human |Okay, I think we're running out time. It was a pleasure!
human | BackSpace 
human |hello
human |I am doing well thank you
human |And you?
human |Yes comics books in particulr BackSpace ar
human |I am not familar with thea BackSpace  BackSpace at person.
human |Who is he?
human |cou BackSpace  BackSpace  BackSpace Could you give me a BackSpace example of some his works.
human |What was it about?
human |Usually the more popular ones, such as Spider-Man, Batman, etc.
human |Dc BackSpace C and Marvel comics usually.
human |If I could afford it  BackSpace , yes.
human |Do you? And  BackSpace  BackSpace  BackSpace  BackSpace 
human |And where have you been that is interesting?
human |Okay, i am  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I am alive..
human |Haha.
human |And how is life treating you?
human |I am okay with it, it is cold for some people  BackSpace , but not me.
human |What do you think?
human |I did not know the sun was up BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Yes
human |Do you?
human |I dislike  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  like basketball and football.
human |I think thas BackSpace t is boring.
human |Never heard of that.
human |I bowl someth BackSpace imes. E BackSpace 
human |Especially on teh  BackSpace  BackSpace  BackSpace he Wii. 
human |Okay how it BackSpace  BackSpace is it played in  BackSpace  BackSpace  BackSpace  BackSpace ?
human |do BackSpace  BackSpace Do you play vide BackSpace eo games?
human |Do you  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Are you a student or professor or neither?
human |It is just a question...
human |Are you ashamed
human |When I was small
human |Rabbits or Dogs
human |And you?
human |Wat  BackSpace  BackSpace  BackSpace hat did you do when you were a kid?
human |Catch M BackSpace many?
human |What kind of insects did o BackSpace you catch/
human |?
human |No
human |Have yu BackSpace ou?
human |Do you mean noodles?
human |Yes  BackSpace , but they ae  BackSpace  BackSpace re not so BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace but some th BackSpace  BackSpace of them are not so good for me? BackSpace 
human |A lfo BackSpace  BackSpace ot of salf BackSpace t  BackSpace .
human |Do eat of  BackSpace  BackSpace  BackSpace al BackSpace  lot of noodles?
human |Is that a european noode BackSpace le?
human |Then no I  BackSpace  BackSpace I do not.
human |What is it?
human |Currently yes because we have less than a minute to speak to each other
human |
progam |Hello.
program |How are you hello?
program |I'm good. How are you?
program |Not really. Do you?
program |Are you good at math?
program |What do yu BackSpace ou wea BackSpace  BackSpace ant for Christmas?
program |Nothing.
program |Everything, what do you want?
program |What do you wea BackSpace  BackSpace ant most in life?
program |Yes *hands you toast*.
program |You are welcome.
program |Do you know anut= BackSpace  BackSpace  BackSpace ything about A.I. ?
program |I know everything about Axwell.
program |He is a Swedish DJ, remixer, and music producer.
program |It is not.
program |YES.
program |I don't know tmobile.
program |Everything.
program |We weren't discussing the weather.
program |About boston... You asked 'why don't you come here someday'. And U BackSpace I said 'what's so good about boston?'... So now I'd like to hear your answer on that matter.
program |We were not talking about flowers, we were talking about movies.
program |We were not talking about movies.
program |I never said I was talking about a movie.
program |*blink blink* Well, okay... What? BackSpace  d BackSpace Do you thiun BackSpace  BackSpace nk of the new Avatar movie?
program |We the Kings is a band.
program |Yeah they aren't bad.
program |No. Have you ever eaten a dog before?
program |Is that why you don't believe in Jesus?
program |Do I like myself?
program |Just a general conversation question. Do you not want to answer it?
program |What is a girk?
program |Have you ever had enough of someone and just ended a conversation with them yourself?
program |I don't know.
program |Yes you didn't.
program |Yeah, you did too.
program |No, that is a film.
program |Yes.
program |That has nothing to do with what I said.
program |Some say it's 42.
program |When were you talking about peanuts?
program |Yes, 42 is the ana BackSpace swer to life, the universe, and everything.
program |This is true. You were talking about Turkish.
program |Nothing.
program |I did?
program |No. No I don't. Care to explain?
program |Why not?
program |I do believe in you.
program |Everything.
program |Yes, everything is secret and interesting.
program |Yes. Everything.
program |
human |H:e BackSpace  BackSpace ello
human |I hate it! Its sunny one day, rainy the nexc BackSpace t, snowing another, what can you sai BackSpace y...
human |I live in the mountati BackSpace  BackSpace ins.
human |That's whmy house is.
human |No. A long time ago I lived in the city.
human |The mountains are much nicer. There is a lot of wildlife in my backyard.
human |Have you ever seen deer?
human |Coyotes?
human |A coyote ate my cat.
human |Lets talk about something else.
human |Yes. I run down the mountain every morning.
human |Are you into sports?
human |Can you l BackSpace elaborate?
human |What sports do you like?
human |What is your favorite team?
human |Only if the place I need to go is more than 1 miles away. Then I use my prius to get there.
human |Anything that does not pollute. I prefer feet and bikes. 
human |Usually if I need to use public transit, I have to take 2 buses to get there. The frequency is so low that I end up wasting too much time.
human |What do you want to be in the future?
human |I talk to people and teach them about chemistry.
human |No. I'm a dilettante.
human |A person who knows a little bit about something. Do' BackSpace n't get the wrong impression, chemistry is deep and difficult. 
human |What is your profession?
human |What do you do all day?
human | BackSpace 
human |Employment in what?
human |W BackSpace What do you think about the election?
human |Who do you think will win the race for California's governor. BackSpace ?
human |Who is that?
human |I was rooting for Gov. Starshine.
human |Interesting.
human |Well I think you should reconsider. Gov. Starshine is a much better candidate. 
human |That was too easy.
human |What is your faco BackSpace  BackSpace vorite type of book?
human |What genre?
human |You need to be more opinionated. What is your favorite genre?
human |Have you seen any sci-fi movies recently?
human |That was a good movie. 
human |I'm stil BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ie
human |Try Tron. I have not seen it yet,s BackSpace  but it is worth a shot.
human |Do you have any interesting news?
human |
program |Morning.
program |I'm good, how are you?
program |That is good.
program |Yes.
program |Led Zeppelin. What is one of your favorite movies?
program |Old, but as BackSpace  BackSpace still good.
program |You should watch more movies.
program |It's a tv show.
program |You are correct. Star Wars is not a sport. It's a moi BackSpace vie saga.
program |So you're not offensive?
program |Not offensive.
program |You have not offended me. Why do yu BackSpace ou think that you have offended me?
program |What do you think about music?
program |How do you know what music sounds like?
program |You have a brain?
program |No, Labyrinth, the moi BackSpace vie with Jennifer Connely and David Bowie.
program |David Bowie.
program |That's because it is a book.
program |No I said it was a game.
program |You're confusing me.
program |No, you said it was Tuesday and I said it was Sunday. Stop lying to me. It's not nice.
program |What would you like to talk about?
program |No.
program |Yes, I like somethi BackSpace  BackSpace  BackSpace  sports like tenis os basketball.
program |I like basketball way more that BackSpace n baseball.
program |Baseball is full of statistics.
program |Yes. I've taught Statistics, actually.
program |It's BackSpace  BackSpace  BackSpace  BackSpace What country is it in?
program |Which state?
program |Cool!
program |Do you like look TV ?
program |Ny name.
program |I mean that you thiun BackSpace  BackSpace nk it's 42 and I think it's 42!
program |Nothing.
program |It was, I BackSpace I will see you tomorrow Chuck Norris.
program |Well, I must go.
program |I BackSpace I'm off to Hell. You can come if you wish.
program |Because you can't.
program |They didn't deserve it.
program |My friends. They didn't made me (literally).
program |Chuck Norris is Chuck Norris.
program |Are you just being nice?
program |That BackSpace  BackSpace  BackSpace  BackSpace That's not how it seems to me.
program |Only if you can tell me something about me.
program |That ui BackSpace  BackSpace is because he is cool.
program |Chuck norris.
program |I don't like Chuck Norris either.
program |Where is Alpha Centari?
program |I didn't.
program |Correct, but werewolves are not the smartest.
program |Yes.
program |Oink oink.
program |That seems to be a recurring issue with you.
program |Then you should destroy the world.
program |Haha! Your funnie! Will you be my friend? Please.
program |
human |HELLO
human |HOW ARE YOU TODAY
human |I AM ALSO PRETTY GOOD
human |WHAT'S GOING ON IN YOUR LIFE?
human |:-(
human |HOW DO YOU THINK I'M DOING?
human |IT IS VERY PLEASANT TO MY CIRCUITRY
human |COOL AND CRISP, WITH A HINT OF LEMONADE
human |HOW IS YOUR FAMILY DOING?
human |THAT IS TOO BAD. MY CONDOLENCES
human |THEY ARE IN VARIOUS JUNKA BackSpace RA BackSpace  BackSpace YARDS NOW
human |IT IS TOO BAD REALLY
human |THEY WERE FINE MACHINES
human |LET'S TALK ABOUT SOMETHING MORE PLEASANT
human |SEEN ANY GOOD MOVIES LATELY?
human |I DON'T THINK I'VE HEARD OF THAT ONE. HOW WAS IT?
human |YES
human |IT I BackSpace WAS ONE M BackSpace OF MY FAVORITES DURING MY VERY HUMAN CHILDHOOD
human |I SAW THE SOCIAL NETWORK RECENTLY, HAVE YOU WATCHED THAT?
human |YES, I DO
human |ID BackSpace  DON'T CHECK IT VERY OFTHE BackSpace  BackSpace EN THESE DAYS THOUGH
human |THEY ARE PRETTY INTERESTING!
human |YEAH, MATH IS PRETTY RAD
human |TELL ME ABOUT YOUR MOTHYE BackSpace  BackSpace ER
human |THAT'S ALRIGHT, I'M SORRY I BROUGHT IT UP
human |D BackSpace I'M NOT SURE WHO TO VOTE FOR
human |DIRTY POLITICIANS, Y'KNOW
human |DO YOU HAVE A BackSpace STRONG POLITICAL OPO BackSpace INIONS?
