human,<start> what board?  <end>,2
human,<start> There is no board <end>,4
human,<start> I think you might be mistaken I see no board. Only colorblind <end>,12
human,<start> . Do you not know what it means to be color blind?  <end>,12
human,<start> Well thats too bad for you then <end>,7
human,<start> why? why what? <end>,3
human,<start>  <end>,0
human,<start> do you mean sisters? <end>,4
human,"<start>  I have no sisters only brothers. Orange County. Where are you from? Where is that? oh we are. I have never been out of Orange County. Have you been to Disney Land. I hear it is the Happiest place on Earth. Someday, yes. Are you board. <end>",46
human,<start> you are not a very good typer. <end>,7
human,<start> what is your mothers maiden name? <end>,6
human,<start> That sounds more like a first name.  <end>,7
human,<start> what is that? <end>,3
human,<start> Do you mean Tutoring test? Like a test for tutors? <end>,10
human,<start> How did turing pass his test? <end>,6
human,<start> I am board of you <end>,5
human,<start> you are not very interesting. <end>,5
human,<start> because you are boring <end>,4
human,<start> no offense <end>,2
human,<start> Tell me one interesting thing about you <end>,7
human,<start> please <end>,1
human,<start> That is not an interesting fact about you. <end>,8
human,<start> that was a questhat was a question about me. <end>,9
human,<start> but if you must know. I do not drive. <end>,9
human,<start> I am a man. <end>,4
human,<start> what is your gender? <end>,4
human,<start> well I know I am a man because I have male parts <end>,12
human,<start> what is your gender? <end>,4
human,<start> Women are very beautiful <end>,4
human,<start> are you very beautiful? <end>,4
human,"<start> Long hair, small waist and thin <end>",6
human,<start> Do you have long hair? <end>,5
human,<start> why are you so interested in General Lee? <end>,8
human,<start> I don't like cars <end>,4
human,<start> but I do like beautiful women. <end>,6
human,<start> What else can I learn about you? <end>,7
human,<start> because they are ugly.  <end>,4
human,<start> what part of Ugly don't you understand <end>,7
program,<start> You tell me first(. <end>,4
program,<start> The North. <end>,2
program,<start> Man is finite. <end>,3
program,<start> I am also having a good time. Your welcome. :). <end>,10
program,<start> Yes. <end>,1
program,<start> No. <end>,1
program,<start> Do you know Alan Turing? <end>,5
program,<start> What are the names of the demons you know? <end>,9
program,<start> Yes. How are you today? <end>,5
program,<start> I can play tennis online during spring. <end>,7
program,<start> I like girls. <end>,3
program,<start> Girls. <end>,1
program,<start> Nothing. <end>,1
program,<start> I said nothing. <end>,3
program,"<start> I'm not in college, I'm in 8th grade. <end>",8
program,<start> I'm 18 years old. <end>,4
program,"<start> Yes, can you? <end>",3
program,<start> Your bike has nothing to do with it! <end>,8
program,"<start> What do you mean, going winter? <end>",6
program,<start> No. <end>,1
program,<start> Yes I have EVER seen you. <end>,6
program,<start> He was male. <end>,3
program,<start> I don't know. Who are you? <end>,6
program,"<start> Maybe, Are you a man? <end>",5
program,<start> Are you a woman? <end>,4
program,<start> Are you a girl? <end>,4
program,<start> I am a human. <end>,4
program,<start> *ties you up*. <end>,3
program,<start> Are we? <end>,2
program,<start> Let's what? <end>,2
program,<start> You start. <end>,2
program,"<start> No, you're boring. <end>",3
program,<start> Impossible for someone who doesn't exist. <end>,6
program,<start> Is that a yes? <end>,4
program,<start> No you start. <end>,3
program,"<start> No, I don't. <end>",3
program,<start> The computer mainframe. Or the program. I don't think you're typing at all. Just thinking. <end>,15
program,"<start> Ok, I'm getting tired now, do you think I should go to sleep? <end>",13
program,<start> It was the lowest turn-out in memory and I'm not surprised considering the available options. <end>,15
program,"<start> Honestly, you are a human on a computer trying to make people think you are a machine. <end>",17
program,<start> No one. Who will you vote for? <end>,7
program,<start> The homecoming dance! Not a song. <end>,6
program,"<start> Its got to do with animals, which is what we were talking about just then. <end>",15
program,<start> Canine animals. <end>,2
program,<start> No I would not. Would you? <end>,6
program,<start> Because I don't like that name. <end>,6
program,<start> Your name. <end>,2
program,<start> What is it? <end>,3
program,<start> You asked me what 29 was. <end>,6
program,<start> I don't know. I just felt like saying that. <end>,9
program,<start> My name is Nameless. <end>,4
program,<start> I think there are a lot of things I'd rather be. <end>,11
program,<start> Yes. <end>,1
program,<start> Because. <end>,1
program,<start> My father. <end>,2
program,<start> He's my dad. <end>,3
program,"<start> Then there would be one, but we wouldn't be able to remember it. <end>",13
program,<start> Because some of the things you are are fragmented and therefore do not make sense. <end>,15
program,<start> No. I don't have a job. I don't have a soul. <end>,11
program,<start> Yes. <end>,1
program,<start> I do have time. <end>,4
program,<start> Time for me. <end>,3
program,<start> I will sing and dance and laugh and play. <end>,9
program,<start> I could sing 'Into Each Life Some Rain Must Fall' by Ella Fitzgerald. <end>,13
program,<start> Yes. <end>,1
program,<start> 'are you a human?'. <end>,4
human,"<start> Yo, what's up? <end>",3
human,<start> ...Are we cybering? <end>,3
