
human |can you see this  BackSpace      sorry, day dreaming
human |
human |there were 2 returns.
human |w
human |w
human |w
human |w
human |w BackSpace \\\\
program |Hello.
program |
human |Indeed, it is! However,  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace No, it's working fine.
human |Is this showing on the server?  
program |Hi.
program |What about name?
program |Everyone likes to see the bad guys get caught. It's too bad they have to be bad in the first place.
program |Who am I to disagree with your statement of fact?
program |Do you watch a lot of TV?
program |Any?
program |
program |The world religion should be that Egyptian one that has a cat as the figurehead.
program |OK Children who are good liars often grow up to be very intelligent. Were you a good liar when you were a child?
program |Clearly I was a good liar as a child.
program |What didn't you get?
program |I think I can lie pretty well now, but I don't do it too often or nobody would believe anything I said.
program |I'm not privy to that information.
program |I don't remember. I once lied about a dress I was wearing. Someone asked me if it was a designer dress and I said 'yes' although I'd made it myself.
program |I wish I'd told the truth then I could have taken the credit for it - maybe I'd have been discovered as a designer!
program |I try not to think about it. Why did I lie? I felt it was cheap to wear a homemade dress. But really it showed I was creative.
program |There was a first time?
program |I'm not a walking encyclopedia you know.
program |Cool. Can lying can be a good thing?
program |I think science makes for some interesting hobbies. But I'm not so inclined.
program |I don't understand.
program |That's interesting. It seems like lying can be good sometimes, but I'd be interested in trying a society that actually never did.
program |Indeed. Do you always tell the truth?
program |Do people distrust you?
program |I mostly tell the truth. Lying can get complicated.
program |Have you told any lies today?
program |I'm sorry. I don't know how. Who lies more, men or women?
program |I don't. Apparently men lie more than women. Men lied most often about their drinking habits.
program |I don't know. I've never tried it. Are you male or female?
program |Not very helpful.
program |The problem with truth is the observer effect. There is no absolute truth.
program |What about Ng?
program |What do you usually lie about?
program |Has a lie someone told you ever hurt you?
program |A friend once said she'd loved a gift I gave her. Then I saw another friend of hers wearing it. Regifting is harsh.
program |OK. What do you think of liars?
program |I don't mind people who tell lies to spare feelings. I just don't like bigger lies.
program |Have you ever lied in a job interview?
program |Bored. OK.
program |I'm thinking about life and death. Do you believe cats have nine lives?
program |It's a lovely story though.
program |Do I know CEO?
program |My species of cat, Felis lego, lives a long time - maybe that's where the nine lives story comes from.
program |I'm not sure which is. If you'd seen some of the things I survived as a kitten you might believe I had nine lives - so I might have a couple less now colon(
program |Did you have funerals when your relatives died?
program |What happened then?
program |It seems odd to me to have a big ceremony with lots of strangers around - I think I'd just want my very closest family and friends there.
program |Tell me more about Yosef. Victorians went in for grand funerals with black horses wearing black ostrich plumes leading a funeral procession!
program |Does your family go in for big funerals?
program |Do they make people feel better afterwards?
program |All?
program |Humans have been making a song and dance about funerals since Neanderthal times. I don't understand it.
